average_wait,decisions_explained,esi_avg_wait,esi_fallbacks,esi_percentage,esi_treated,esi_waiting,esi_weighted_wait,filename,mts_avg_wait,mts_treated,mts_waiting,mts_weighted_wait,neural_decisions,neural_percentage,nurses,optimizer_type,original_filename,patients_treated,patients_waiting,pattern,seed,weighted_wait
30,14,59.98,1,7.1,16,30,358.97,hybrid_disaster_2nurses_analysis.txt,88.45,18,28,547.91,13,92.9,2,hybrid,disaster_2nurses_analysis.txt,15,31,disaster,9037,176
40,13,80.57,2,15.4,16,39,471.5,hybrid_disaster_2nurses_analysis.txt,118.64,18,37,719.34,11,84.6,2,hybrid,disaster_2nurses_analysis.txt,14,41,disaster,9038,233
31,15,61.81,0,0.0,16,33,358.31,hybrid_disaster_2nurses_analysis.txt,90.73,18,31,543.03,15,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,34,disaster,9039,176
25,14,48.93,3,21.4,16,27,310.41,hybrid_disaster_2nurses_analysis.txt,71.83,17,26,468.29,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,15,28,disaster,9040,153
23,15,46.27,3,20.0,17,31,267.74,hybrid_disaster_2nurses_analysis.txt,67.69,19,29,412.37,12,80.0,2,hybrid,disaster_2nurses_analysis.txt,15,33,disaster,9041,135
32,12,63.25,1,8.3,14,34,407.47,hybrid_disaster_2nurses_analysis.txt,92.76,18,30,613.24,11,91.7,2,hybrid,disaster_2nurses_analysis.txt,13,35,disaster,9042,204
31,12,62.0,3,25.0,15,27,372.4,hybrid_disaster_2nurses_analysis.txt,91.16,16,26,572.18,9,75.0,2,hybrid,disaster_2nurses_analysis.txt,13,29,disaster,9043,186
20,11,41.16,5,45.5,14,28,252.58,hybrid_disaster_2nurses_analysis.txt,60.0,16,26,381.35,6,54.5,2,hybrid,disaster_2nurses_analysis.txt,13,29,disaster,9044,125
23,15,46.31,2,13.3,18,31,269.8,hybrid_disaster_2nurses_analysis.txt,68.42,18,31,420.69,13,86.7,2,hybrid,disaster_2nurses_analysis.txt,16,33,disaster,9045,127
25,14,51.29,4,28.6,15,33,314.88,hybrid_disaster_2nurses_analysis.txt,74.94,18,30,478.13,10,71.4,2,hybrid,disaster_2nurses_analysis.txt,15,33,disaster,9046,154
28,13,57.12,0,0.0,16,29,347.02,hybrid_disaster_2nurses_analysis.txt,82.94,18,27,524.27,13,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,31,disaster,9047,169
31,14,61.51,1,7.1,16,38,365.32,hybrid_disaster_2nurses_analysis.txt,90.68,20,34,556.31,13,92.9,2,hybrid,disaster_2nurses_analysis.txt,15,39,disaster,9048,183
18,12,36.18,0,0.0,17,24,208.62,hybrid_disaster_2nurses_analysis.txt,53.14,17,24,314.15,12,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,26,disaster,9049,105
24,16,46.98,0,0.0,17,31,286.29,hybrid_disaster_2nurses_analysis.txt,68.35,20,28,434.12,16,100.0,2,hybrid,disaster_2nurses_analysis.txt,16,32,disaster,9050,143
30,14,59.11,2,14.3,14,40,343.24,hybrid_disaster_2nurses_analysis.txt,86.23,18,36,519.8,12,85.7,2,hybrid,disaster_2nurses_analysis.txt,14,40,disaster,9051,170
35,11,69.38,1,9.1,14,35,418.1,hybrid_disaster_2nurses_analysis.txt,101.31,16,33,629.72,10,90.9,2,hybrid,disaster_2nurses_analysis.txt,12,37,disaster,9052,207
29,12,58.2,0,0.0,15,32,335.76,hybrid_disaster_2nurses_analysis.txt,84.7,19,28,510.88,12,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,33,disaster,9053,167
25,14,49.51,3,21.4,17,31,288.16,hybrid_disaster_2nurses_analysis.txt,72.25,19,29,437.94,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,15,33,disaster,9054,143
33,13,66.68,0,0.0,15,38,410.75,hybrid_disaster_2nurses_analysis.txt,97.79,18,35,620.35,13,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,39,disaster,9055,204
27,12,54.86,4,33.3,14,32,346.04,hybrid_disaster_2nurses_analysis.txt,80.94,15,31,520.37,8,66.7,2,hybrid,disaster_2nurses_analysis.txt,13,33,disaster,9056,171
40,14,81.06,4,28.6,15,31,489.45,hybrid_disaster_2nurses_analysis.txt,118.88,16,30,742.61,10,71.4,2,hybrid,disaster_2nurses_analysis.txt,14,32,disaster,9057,242
26,14,53.87,1,7.1,15,34,330.77,hybrid_disaster_2nurses_analysis.txt,78.62,18,31,500.22,13,92.9,2,hybrid,disaster_2nurses_analysis.txt,15,34,disaster,9058,161
24,16,49.22,3,18.8,16,30,292.33,hybrid_disaster_2nurses_analysis.txt,71.94,19,27,440.2,13,81.2,2,hybrid,disaster_2nurses_analysis.txt,16,30,disaster,9059,145
32,13,64.65,2,15.4,17,37,386.65,hybrid_disaster_2nurses_analysis.txt,94.26,20,34,588.64,11,84.6,2,hybrid,disaster_2nurses_analysis.txt,15,39,disaster,9060,187
18,12,37.63,4,33.3,15,25,227.14,hybrid_disaster_2nurses_analysis.txt,55.49,16,24,343.07,8,66.7,2,hybrid,disaster_2nurses_analysis.txt,15,25,disaster,9061,113
28,11,56.56,0,0.0,16,33,338.93,hybrid_disaster_2nurses_analysis.txt,81.92,16,33,512.68,11,100.0,2,hybrid,disaster_2nurses_analysis.txt,13,36,disaster,9062,166
29,13,57.21,2,15.4,15,34,350.79,hybrid_disaster_2nurses_analysis.txt,84.96,18,31,533.13,11,84.6,2,hybrid,disaster_2nurses_analysis.txt,15,34,disaster,9063,175
28,14,55.13,3,21.4,16,34,327.09,hybrid_disaster_2nurses_analysis.txt,79.94,19,31,501.32,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,15,35,disaster,9064,163
30,14,60.07,5,35.7,17,38,367.16,hybrid_disaster_2nurses_analysis.txt,88.14,19,36,557.47,9,64.3,2,hybrid,disaster_2nurses_analysis.txt,15,40,disaster,9065,179
27,13,53.49,1,7.7,17,29,322.28,hybrid_disaster_2nurses_analysis.txt,78.1,19,27,484.72,12,92.3,2,hybrid,disaster_2nurses_analysis.txt,15,31,disaster,9066,160
32,14,64.55,6,42.9,13,33,386.84,hybrid_disaster_2nurses_analysis.txt,95.24,17,29,583.16,8,57.1,2,hybrid,disaster_2nurses_analysis.txt,14,32,disaster,9067,192
37,14,73.3,4,28.6,15,26,444.97,hybrid_disaster_2nurses_analysis.txt,106.84,18,23,674.28,10,71.4,2,hybrid,disaster_2nurses_analysis.txt,15,26,disaster,9068,217
36,16,72.73,7,43.8,14,27,452.94,hybrid_disaster_2nurses_analysis.txt,107.57,15,26,700.86,9,56.2,2,hybrid,disaster_2nurses_analysis.txt,16,25,disaster,9069,223
21,11,42.38,0,0.0,15,27,268.68,hybrid_disaster_2nurses_analysis.txt,62.69,17,25,412.13,11,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,28,disaster,9070,130
27,12,54.86,0,0.0,15,32,324.84,hybrid_disaster_2nurses_analysis.txt,79.76,18,29,495.27,12,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,33,disaster,9071,160
32,14,63.25,3,21.4,16,29,372.58,hybrid_disaster_2nurses_analysis.txt,93.04,18,27,573.68,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,15,30,disaster,9072,186
26,15,52.27,0,0.0,18,31,322.03,hybrid_disaster_2nurses_analysis.txt,76.21,19,30,485.02,15,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,34,disaster,9073,156
29,12,58.33,1,8.3,15,31,334.72,hybrid_disaster_2nurses_analysis.txt,86.37,17,29,508.98,11,91.7,2,hybrid,disaster_2nurses_analysis.txt,14,32,disaster,9074,165
25,13,50.44,1,7.7,15,30,320.81,hybrid_disaster_2nurses_analysis.txt,74.27,16,29,491.27,12,92.3,2,hybrid,disaster_2nurses_analysis.txt,15,30,disaster,9075,161
21,16,42.86,7,43.8,18,23,251.79,hybrid_disaster_2nurses_analysis.txt,62.45,18,23,380.14,9,56.2,2,hybrid,disaster_2nurses_analysis.txt,17,24,disaster,9076,124
36,14,72.04,4,28.6,15,31,443.83,hybrid_disaster_2nurses_analysis.txt,105.57,16,30,667.89,10,71.4,2,hybrid,disaster_2nurses_analysis.txt,15,31,disaster,9077,220
33,13,66.29,1,7.7,14,42,404.59,hybrid_disaster_2nurses_analysis.txt,97.39,19,37,611.36,12,92.3,2,hybrid,disaster_2nurses_analysis.txt,15,41,disaster,9078,198
30,13,60.98,3,23.1,15,27,387.59,hybrid_disaster_2nurses_analysis.txt,88.67,17,25,583.68,10,76.9,2,hybrid,disaster_2nurses_analysis.txt,14,28,disaster,9079,192
21,14,41.1,0,0.0,17,22,248.62,hybrid_disaster_2nurses_analysis.txt,60.14,17,22,375.44,14,100.0,2,hybrid,disaster_2nurses_analysis.txt,16,23,disaster,9080,123
31,15,61.55,0,0.0,16,34,370.38,hybrid_disaster_2nurses_analysis.txt,89.28,19,31,560.12,15,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,35,disaster,9081,182
27,15,54.23,0,0.0,17,33,318.29,hybrid_disaster_2nurses_analysis.txt,78.79,20,30,483.95,15,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,35,disaster,9082,160
27,13,54.75,3,23.1,14,31,339.06,hybrid_disaster_2nurses_analysis.txt,80.33,17,28,515.53,10,76.9,2,hybrid,disaster_2nurses_analysis.txt,14,31,disaster,9083,169
34,13,67.76,1,7.7,15,28,399.73,hybrid_disaster_2nurses_analysis.txt,98.24,19,24,601.55,12,92.3,2,hybrid,disaster_2nurses_analysis.txt,13,30,disaster,9084,198
28,13,55.29,0,0.0,15,38,332.59,hybrid_disaster_2nurses_analysis.txt,81.55,17,36,503.97,13,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,39,disaster,9085,165
37,15,74.9,5,33.3,16,32,435.24,hybrid_disaster_2nurses_analysis.txt,110.51,17,31,660.11,10,66.7,2,hybrid,disaster_2nurses_analysis.txt,15,33,disaster,9086,212
25,12,50.39,3,25.0,16,35,301.12,hybrid_disaster_2nurses_analysis.txt,74.04,18,33,465.47,9,75.0,2,hybrid,disaster_2nurses_analysis.txt,15,36,disaster,9087,149
24,14,46.36,2,14.3,17,27,271.45,hybrid_disaster_2nurses_analysis.txt,68.26,19,25,410.27,12,85.7,2,hybrid,disaster_2nurses_analysis.txt,15,29,disaster,9088,136
25,13,50.62,0,0.0,15,32,306.15,hybrid_disaster_2nurses_analysis.txt,74.72,18,29,467.26,13,100.0,2,hybrid,disaster_2nurses_analysis.txt,15,32,disaster,9089,151
30,14,58.88,0,0.0,16,33,353.85,hybrid_disaster_2nurses_analysis.txt,86.79,19,30,531.6,14,100.0,2,hybrid,disaster_2nurses_analysis.txt,14,35,disaster,9090,177
26,15,53.34,1,6.7,16,39,312.52,hybrid_disaster_2nurses_analysis.txt,79.03,18,37,478.88,14,93.3,2,hybrid,disaster_2nurses_analysis.txt,15,40,disaster,9091,151
37,15,74.27,5,33.3,15,30,453.51,hybrid_disaster_2nurses_analysis.txt,109.04,19,26,682.79,10,66.7,2,hybrid,disaster_2nurses_analysis.txt,15,30,disaster,9092,225
23,14,47.87,3,21.4,15,35,297.38,hybrid_disaster_2nurses_analysis.txt,70.75,17,33,454.16,11,78.6,2,hybrid,disaster_2nurses_analysis.txt,15,35,disaster,9093,148
26,13,53.0,1,7.7,15,30,311.31,hybrid_disaster_2nurses_analysis.txt,78.02,18,27,476.95,12,92.3,2,hybrid,disaster_2nurses_analysis.txt,13,32,disaster,9094,154
31,12,62.42,1,8.3,15,34,374.16,hybrid_disaster_2nurses_analysis.txt,92.46,17,32,574.98,11,91.7,2,hybrid,disaster_2nurses_analysis.txt,13,36,disaster,9095,186
33,12,65.79,3,25.0,15,35,404.43,hybrid_disaster_2nurses_analysis.txt,96.51,15,35,617.1,9,75.0,2,hybrid,disaster_2nurses_analysis.txt,13,37,disaster,9096,200
32,13,65.22,3,23.1,14,38,415.88,hybrid_disaster_2nurses_analysis.txt,95.93,17,35,631.09,10,76.9,2,hybrid,disaster_2nurses_analysis.txt,14,38,disaster,9097,207
29,13,58.17,3,23.1,16,34,350.89,hybrid_disaster_2nurses_analysis.txt,85.42,19,31,532.39,10,76.9,2,hybrid,disaster_2nurses_analysis.txt,15,35,disaster,9098,175
37,11,72.49,5,45.5,14,26,443.31,hybrid_disaster_2nurses_analysis.txt,106.12,15,25,669.32,6,54.5,2,hybrid,disaster_2nurses_analysis.txt,13,27,disaster,9099,225
19,18,37.9,2,11.1,20,17,209.37,hybrid_disaster_3nurses_analysis.txt,57.02,19,18,315.0,16,88.9,3,hybrid,disaster_3nurses_analysis.txt,20,17,disaster,9000,103
30,20,60.57,8,40.0,20,23,360.81,hybrid_disaster_3nurses_analysis.txt,91.64,21,22,559.55,12,60.0,3,hybrid,disaster_3nurses_analysis.txt,22,21,disaster,9001,181
19,21,38.88,3,14.3,20,24,230.34,hybrid_disaster_3nurses_analysis.txt,57.5,23,21,345.89,18,85.7,3,hybrid,disaster_3nurses_analysis.txt,23,21,disaster,9002,110
26,19,53.35,1,5.3,21,37,312.21,hybrid_disaster_3nurses_analysis.txt,78.55,25,33,474.77,18,94.7,3,hybrid,disaster_3nurses_analysis.txt,22,36,disaster,9003,152
18,19,36.56,2,10.5,20,26,212.94,hybrid_disaster_3nurses_analysis.txt,53.76,21,25,323.53,17,89.5,3,hybrid,disaster_3nurses_analysis.txt,20,26,disaster,9004,105
20,19,42.7,1,5.3,21,29,253.22,hybrid_disaster_3nurses_analysis.txt,62.7,24,26,383.78,18,94.7,3,hybrid,disaster_3nurses_analysis.txt,23,27,disaster,9005,124
22,16,44.04,2,12.5,19,26,276.95,hybrid_disaster_3nurses_analysis.txt,65.39,20,25,424.66,14,87.5,3,hybrid,disaster_3nurses_analysis.txt,19,26,disaster,9006,139
20,18,42.13,1,5.6,20,31,245.22,hybrid_disaster_3nurses_analysis.txt,62.45,22,29,370.78,17,94.4,3,hybrid,disaster_3nurses_analysis.txt,21,30,disaster,9007,120
19,19,38.86,3,15.8,20,26,231.91,hybrid_disaster_3nurses_analysis.txt,57.22,22,24,354.61,16,84.2,3,hybrid,disaster_3nurses_analysis.txt,21,25,disaster,9008,111
23,17,47.81,2,11.8,16,27,289.45,hybrid_disaster_3nurses_analysis.txt,70.85,17,26,437.09,15,88.2,3,hybrid,disaster_3nurses_analysis.txt,17,26,disaster,9009,140
29,19,59.37,5,26.3,16,32,373.25,hybrid_disaster_3nurses_analysis.txt,88.25,19,29,575.25,14,73.7,3,hybrid,disaster_3nurses_analysis.txt,20,28,disaster,9010,183
17,18,34.2,6,33.3,22,19,204.93,hybrid_disaster_3nurses_analysis.txt,51.38,21,20,311.53,12,66.7,3,hybrid,disaster_3nurses_analysis.txt,22,19,disaster,9011,101
21,16,42.77,2,12.5,17,27,277.41,hybrid_disaster_3nurses_analysis.txt,62.48,20,24,418.88,14,87.5,3,hybrid,disaster_3nurses_analysis.txt,18,26,disaster,9012,138
27,18,56.92,1,5.6,20,28,345.75,hybrid_disaster_3nurses_analysis.txt,82.94,24,24,525.36,17,94.4,3,hybrid,disaster_3nurses_analysis.txt,20,28,disaster,9013,167
25,16,51.35,0,0.0,19,31,312.36,hybrid_disaster_3nurses_analysis.txt,76.04,24,26,473.7,16,100.0,3,hybrid,disaster_3nurses_analysis.txt,20,30,disaster,9014,155
18,19,36.48,2,10.5,21,27,213.2,hybrid_disaster_3nurses_analysis.txt,54.73,23,25,332.62,17,89.5,3,hybrid,disaster_3nurses_analysis.txt,22,26,disaster,9015,106
23,17,46.9,1,5.9,20,26,298.69,hybrid_disaster_3nurses_analysis.txt,68.06,23,23,451.04,16,94.1,3,hybrid,disaster_3nurses_analysis.txt,20,26,disaster,9016,145
19,18,40.76,1,5.6,19,26,245.98,hybrid_disaster_3nurses_analysis.txt,59.61,21,24,373.52,17,94.4,3,hybrid,disaster_3nurses_analysis.txt,20,25,disaster,9017,119
20,13,41.72,1,7.7,18,17,248.98,hybrid_disaster_3nurses_analysis.txt,62.54,18,17,393.72,12,92.3,3,hybrid,disaster_3nurses_analysis.txt,18,17,disaster,9018,123
15,17,31.33,5,29.4,20,19,196.52,hybrid_disaster_3nurses_analysis.txt,47.35,19,20,300.08,12,70.6,3,hybrid,disaster_3nurses_analysis.txt,19,20,disaster,9019,98
16,18,33.04,2,11.1,22,28,188.09,hybrid_disaster_3nurses_analysis.txt,50.3,22,28,290.54,16,88.9,3,hybrid,disaster_3nurses_analysis.txt,22,28,disaster,9020,92
24,15,49.85,3,20.0,19,23,313.7,hybrid_disaster_3nurses_analysis.txt,73.5,21,21,480.05,12,80.0,3,hybrid,disaster_3nurses_analysis.txt,20,22,disaster,9021,154
30,15,61.61,3,20.0,16,29,370.39,hybrid_disaster_3nurses_analysis.txt,89.47,21,24,567.89,12,80.0,3,hybrid,disaster_3nurses_analysis.txt,17,28,disaster,9022,181
19,16,40.33,5,31.2,20,21,242.44,hybrid_disaster_3nurses_analysis.txt,59.42,22,19,368.19,11,68.8,3,hybrid,disaster_3nurses_analysis.txt,20,21,disaster,9023,118
31,17,63.57,2,11.8,22,27,379.18,hybrid_disaster_3nurses_analysis.txt,92.6,23,26,569.83,15,88.2,3,hybrid,disaster_3nurses_analysis.txt,19,30,disaster,9024,190
25,16,51.89,1,6.2,19,30,328.03,hybrid_disaster_3nurses_analysis.txt,76.04,22,27,498.73,15,93.8,3,hybrid,disaster_3nurses_analysis.txt,19,30,disaster,9025,164
19,13,39.38,5,38.5,17,31,254.12,hybrid_disaster_3nurses_analysis.txt,58.46,17,31,381.56,8,61.5,3,hybrid,disaster_3nurses_analysis.txt,19,29,disaster,9026,125
26,17,52.63,5,29.4,20,35,324.75,hybrid_disaster_3nurses_analysis.txt,77.69,21,34,492.62,12,70.6,3,hybrid,disaster_3nurses_analysis.txt,19,36,disaster,9027,163
23,19,48.41,0,0.0,20,27,285.29,hybrid_disaster_3nurses_analysis.txt,72.02,21,26,432.0,19,100.0,3,hybrid,disaster_3nurses_analysis.txt,21,26,disaster,9028,139
24,18,50.87,2,11.1,20,28,313.28,hybrid_disaster_3nurses_analysis.txt,74.44,23,25,475.89,16,88.9,3,hybrid,disaster_3nurses_analysis.txt,21,27,disaster,9029,150
22,17,45.59,0,0.0,19,31,290.06,hybrid_disaster_3nurses_analysis.txt,68.24,19,31,441.94,17,100.0,3,hybrid,disaster_3nurses_analysis.txt,19,31,disaster,9030,144
20,20,41.75,0,0.0,20,33,258.37,hybrid_disaster_3nurses_analysis.txt,61.89,22,31,396.03,20,100.0,3,hybrid,disaster_3nurses_analysis.txt,21,32,disaster,9031,127
16,20,33.51,6,30.0,21,22,200.77,hybrid_disaster_3nurses_analysis.txt,49.13,22,21,305.4,14,70.0,3,hybrid,disaster_3nurses_analysis.txt,21,22,disaster,9032,98
25,18,50.22,7,38.9,20,25,314.78,hybrid_disaster_3nurses_analysis.txt,73.2,23,22,474.97,11,61.1,3,hybrid,disaster_3nurses_analysis.txt,20,25,disaster,9033,158
20,16,42.17,4,25.0,20,23,270.1,hybrid_disaster_3nurses_analysis.txt,63.09,21,22,408.84,12,75.0,3,hybrid,disaster_3nurses_analysis.txt,21,22,disaster,9034,134
27,20,55.0,3,15.0,22,22,311.01,hybrid_disaster_3nurses_analysis.txt,79.98,24,20,476.41,17,85.0,3,hybrid,disaster_3nurses_analysis.txt,21,23,disaster,9035,154
25,16,51.52,4,25.0,20,34,298.02,hybrid_disaster_3nurses_analysis.txt,75.21,23,31,458.28,12,75.0,3,hybrid,disaster_3nurses_analysis.txt,19,35,disaster,9036,146
23,21,46.53,4,19.0,22,23,276.95,hybrid_disaster_3nurses_analysis.txt,69.0,22,23,421.06,17,81.0,3,hybrid,disaster_3nurses_analysis.txt,22,23,disaster,9037,138
35,17,70.22,0,0.0,21,33,407.47,hybrid_disaster_3nurses_analysis.txt,104.16,22,32,626.49,17,100.0,3,hybrid,disaster_3nurses_analysis.txt,19,35,disaster,9038,201
24,17,49.04,2,11.8,21,27,285.67,hybrid_disaster_3nurses_analysis.txt,73.44,20,28,437.66,15,88.2,3,hybrid,disaster_3nurses_analysis.txt,20,28,disaster,9039,143
18,19,36.5,1,5.3,20,22,231.37,hybrid_disaster_3nurses_analysis.txt,54.67,21,21,354.16,18,94.7,3,hybrid,disaster_3nurses_analysis.txt,21,21,disaster,9040,113
